Index blocks information from the blockchain.
[02/04/2023 11:02 PM]:Connecting to MySQL...
[02/04/2023 11:02 PM]: Process for block Number [12100001]
[02/04/2023 11:02 PM]: Process to insert transaction index '0x1f'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x20'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x21'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x22'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x23'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x24'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x25'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x26'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x27'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x28'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x29'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x2a'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x2b'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x2c'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x2d'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x2e'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x2f'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x30'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x31'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x32'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x33'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x34'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x35'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x36'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x37'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x38'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x39'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x3a'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x3b'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x3c'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x3d'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x3e'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x3f'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x40'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x41'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x42'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x43'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x44'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x45'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x46'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x47'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x48'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x49'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x4a'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x4b'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x4c'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x4d'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x4e'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x4f'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x50'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x51'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x52'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x53'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x54'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x55'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x56'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x57'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x58'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x59'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x5a'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x5b'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x5c'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x5d'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x5e'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x5f'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x60'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x61'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x62'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x63'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x64'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x65'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x66'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x67'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x68'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x69'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x6a'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x6b'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x6c'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x6d'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x6e'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x6f'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x70'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x71'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x72'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x73'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x74'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x75'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x76'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x77'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x78'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x79'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x7a'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x7b'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x7c'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x7d'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x7e'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x7f'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x80'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x81'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x82'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x83'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x84'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x85'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x86'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x87'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x88'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x89'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x8a'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x8b'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x8c'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x8d'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x8e'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x8f'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x90'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x91'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x92'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x93'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x94'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x95'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x96'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x97'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x98'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x99'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x9a'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x9b'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x9c'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x9d'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x9e'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x9f'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa0'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa1'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa2'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa3'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa4'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa5'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa6'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa7'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa8'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa9'
[02/04/2023 11:03 PM]: Complete to process for the block number [12100001]
[02/04/2023 11:03 PM]: Process for block Number [12100002]
[02/04/2023 11:03 PM]: Process to insert transaction index '0x0'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x1'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x2'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x3'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x4'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x5'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x6'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x7'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x8'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x9'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xa'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xb'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xc'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xd'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xe'
[02/04/2023 11:03 PM]: Process to insert transaction index '0xf'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x10'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x11'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x12'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x13'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x14'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x15'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x16'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x17'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x18'
[02/04/2023 11:03 PM]: Process to insert transaction index '0x19'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x20'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x21'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x22'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x23'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x24'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x25'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x26'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x27'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x28'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x29'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x30'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x31'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x32'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x33'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x34'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x35'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x36'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x37'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x38'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x39'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x40'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x41'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x42'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x43'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x44'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x45'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x46'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x47'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x48'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x49'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x50'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x51'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x52'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x53'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x54'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x55'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x56'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x57'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x58'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x59'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x60'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x61'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x62'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x63'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x64'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x65'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x66'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x67'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x68'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x69'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x70'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x71'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x72'
[02/04/2023 11:04 PM]: Complete to process for the block number [12100002]
[02/04/2023 11:04 PM]: Process for block Number [12100003]
[02/04/2023 11:04 PM]: Process to insert transaction index '0x0'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x7'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x8'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x9'
[02/04/2023 11:04 PM]: Process to insert transaction index '0xa'
[02/04/2023 11:04 PM]: Process to insert transaction index '0xb'
[02/04/2023 11:04 PM]: Process to insert transaction index '0xc'
[02/04/2023 11:04 PM]: Process to insert transaction index '0xd'
[02/04/2023 11:04 PM]: Process to insert transaction index '0xe'
[02/04/2023 11:04 PM]: Process to insert transaction index '0xf'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x10'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x11'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x12'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x13'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x14'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x15'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x16'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x17'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x18'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x19'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x1f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x20'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x21'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x22'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x23'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x24'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x25'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x26'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x27'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x28'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x29'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x2f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x30'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x31'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x32'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x33'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x34'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x35'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x36'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x37'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x38'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x39'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x3f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x40'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x41'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x42'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x43'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x44'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x45'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x46'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x47'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x48'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x49'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x4f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x50'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x51'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x52'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x53'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x54'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x55'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x56'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x57'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x58'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x59'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x5f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x60'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x61'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x62'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x63'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x64'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x65'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x66'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x67'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x68'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x69'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6a'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6b'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6c'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6d'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6e'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x6f'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x70'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x71'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x72'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x73'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x74'
[02/04/2023 11:04 PM]: Process to insert transaction index '0x75'
[02/04/2023 11:04 PM]: Complete to process for the block number [12100003]
[02/04/2023 11:04 PM]: Process for block Number [12100004]
[02/04/2023 11:05 PM]: Process to insert transaction index '0x0'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x1'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x2'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x3'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x4'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x5'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x6'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x7'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x8'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x9'
[02/04/2023 11:05 PM]: Process to insert transaction index '0xa'
[02/04/2023 11:05 PM]: Process to insert transaction index '0xb'
[02/04/2023 11:05 PM]: Process to insert transaction index '0xc'
[02/04/2023 11:05 PM]: Process to insert transaction index '0xd'
[02/04/2023 11:05 PM]: Process to insert transaction index '0xe'
[02/04/2023 11:05 PM]: Process to insert transaction index '0xf'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x10'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x11'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x12'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x13'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x14'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x15'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x16'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x17'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x18'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x19'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x1a'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x1b'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x1c'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x1d'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x1e'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x1f'
[02/04/2023 11:05 PM]: Process to insert transaction index '0x20'
